iter	Passed	Remaining
930	1395	103
931	1396	101
932	1397	100
933	1399	98
934	1399	97
935	1401	95
936	1402	94
937	1403	92
938	1404	91
939	1405	89
940	1406	88
941	1407	86
942	1408	85
943	1409	83
944	1411	82
945	1412	80
946	1413	79
947	1414	77
948	1415	76
949	1416	74
950	1418	73
951	1419	71
952	1420	70
953	1422	68
954	1423	67
955	1425	65
956	1426	64
957	1427	62
958	1428	61
959	1429	59
960	1431	58
961	1432	56
962	1433	55
963	1434	53
964	1435	52
965	1437	50
966	1438	49
967	1439	47
968	1440	46
969	1441	44
970	1442	43
971	1443	41
972	1445	40
973	1446	38
974	1447	37
975	1448	35
976	1449	34
977	1450	32
978	1451	31
979	1453	29
980	1454	28
981	1455	26
982	1456	25
983	1457	23
984	1458	22
985	1459	20
986	1461	19
987	1462	17
988	1463	16
989	1464	14
990	1465	13
991	1466	11
992	1467	10
993	1468	8
994	1470	7
995	1471	5
996	1472	4
997	1473	2
998	1474	1
999	1475	0
